Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 03/03/2020
Code Cohort   sdCMAB   sdCMAB40
EST  1966       5.80       5.30
EST  1967       5.94       5.42
EST  1968          .       5.58
EST  1969          .       5.77
EST  1970          .       5.92
EST  1971          .       5.98
EST  1972          .       6.05
EST  1973          .       6.06
EST  1974          .       6.08
EST  1975          .       5.98
EST  1976          .       5.95
EST  1977          .       5.85
FIN  1924       5.55       5.01
FIN  1925       5.57       5.09
FIN  1926       5.58       5.14
FIN  1927       5.54       5.15
FIN  1928       5.49       5.15
FIN  1929       5.41       5.12
FIN  1930       5.33       5.07
FIN  1931       5.27       5.01
FIN  1932       5.17       4.91
FIN  1933       5.09       4.83
FIN  1934       5.05       4.77
FIN  1935       5.02       4.72
FIN  1936       5.03       4.71
FIN  1937       5.03       4.69
FIN  1938       5.07       4.74
FIN  1939       5.15       4.78
FIN  1940       5.21       4.85
FIN  1941       5.34       4.96
FIN  1942       5.45       5.06
FIN  1943       5.52       5.14
FIN  1944       5.61       5.23
FIN  1945       5.68       5.32
FIN  1946       5.68       5.33
FIN  1947       5.72       5.35
FIN  1948       5.73       5.34
FIN  1949       5.71       5.33
FIN  1950       5.73       5.35
FIN  1951       5.70       5.32
FIN  1952       5.69       5.31
FIN  1953       5.68       5.31
FIN  1954       5.67       5.30
FIN  1955       5.67       5.30
FIN  1956       5.70       5.31
FIN  1957       5.69       5.30
FIN  1958       5.68       5.30
FIN  1959       5.65       5.26
FIN  1960       5.59       5.21
FIN  1961       5.57       5.18
FIN  1962       5.56       5.15
FIN  1963       5.48       5.08
FIN  1964       5.47       5.05
FIN  1965       5.48       5.04
FIN  1966       5.45       5.03
FIN  1967       5.46       5.03
FIN  1968       5.50       5.07
FIN  1969          .       5.11
FIN  1970          .       5.13
FIN  1971          .       5.13
FIN  1972          .       5.16
FIN  1973          .       5.13
FIN  1974          .       5.09
FIN  1975          .       5.07
FIN  1976          .       5.00
FIN  1977          .       4.97
FIN  1978          .       5.02
FRATNP  1931       5.47       5.13
FRATNP  1932       5.41       5.09
FRATNP  1933       5.32       5.05
FRATNP  1934       5.23       4.99
FRATNP  1935       5.14       4.92
FRATNP  1936       5.05       4.84
FRATNP  1937       4.97       4.76
FRATNP  1938       4.91       4.70
FRATNP  1939       4.86       4.64
FRATNP  1940       4.93       4.66
FRATNP  1941       4.90       4.65
FRATNP  1942       4.93       4.67
FRATNP  1943       4.95       4.69
FRATNP  1944       5.03       4.76
FRATNP  1945       5.09       4.81
FRATNP  1946       5.12       4.84
FRATNP  1947       5.20       4.91
FRATNP  1948       5.28       4.97
FRATNP  1949       5.32       5.02
FRATNP  1950       5.40       5.08
FRATNP  1951       5.44       5.13
FRATNP  1952       5.49       5.17
FRATNP  1953       5.50       5.19
FRATNP  1954       5.51       5.19
FRATNP  1955       5.52       5.19
FRATNP  1956       5.52       5.18
FRATNP  1957       5.53       5.17
FRATNP  1958       5.53       5.16
FRATNP  1959       5.55       5.17
FRATNP  1960       5.56       5.17
FRATNP  1961       5.57       5.18
FRATNP  1962       5.58       5.18
FRATNP  1963       5.59       5.19
FRATNP  1964       5.59       5.17
FRATNP  1965       5.58       5.15
FRATNP  1966       5.54       5.11
FRATNP  1967       5.53       5.10
FRATNP  1968          .       5.08
FRATNP  1969          .       5.06
FRATNP  1970          .       5.03
FRATNP  1971          .       5.00
FRATNP  1972          .       4.98
FRATNP  1973          .       4.95
FRATNP  1974          .       4.94
FRATNP  1975          .       4.92
FRATNP  1976          .       4.93
FRATNP  1977          .       4.91
DEUTNP  1941       4.74       4.55
DEUTNP  1942       4.84       4.64
DEUTNP  1943       4.90       4.70
DEUTNP  1944       5.00       4.79
DEUTNP  1945       5.15       4.92
DEUTNP  1946       5.22       4.99
DEUTNP  1947       5.28       5.06
DEUTNP  1948       5.36       5.12
DEUTNP  1949       5.40       5.17
DEUTNP  1950       5.43       5.19
DEUTNP  1951       5.44       5.22
DEUTNP  1952       5.47       5.24
