Cohort mean ages at birth and cohort mean ages at birth by age 40
Last modified: 03/03/2020
Code Cohort    CMAB    CMAB40
HUN  1941     25.40     25.28
HUN  1942     25.42     25.31
HUN  1943     25.42     25.31
HUN  1944     25.37     25.25
HUN  1945     25.36     25.23
HUN  1946     25.30     25.18
HUN  1947     25.20     25.07
HUN  1948     25.10     24.97
HUN  1949     25.03     24.90
HUN  1950     24.98     24.84
HUN  1951     24.96     24.82
HUN  1952     24.99     24.83
HUN  1953     25.03     24.88
HUN  1954     24.97     24.82
HUN  1955     24.94     24.81
HUN  1956     24.95     24.80
HUN  1957     24.95     24.80
HUN  1958     25.00     24.85
HUN  1959     25.02     24.86
HUN  1960     25.08     24.90
HUN  1961     25.17     24.99
HUN  1962     25.25     25.06
HUN  1963     25.33     25.12
HUN  1964     25.42     25.20
HUN  1965     25.54     25.31
HUN  1966     25.67     25.43
HUN  1967     25.83     25.56
HUN  1968         .     25.72
HUN  1969         .     25.93
HUN  1970         .     26.17
HUN  1971         .     26.40
HUN  1972         .     26.67
HUN  1973         .     26.95
HUN  1974         .     27.33
HUN  1975         .     27.65
HUN  1976         .     27.90
HUN  1977         .     28.19
ISL  1945     26.06     25.86
ISL  1946     25.87     25.66
ISL  1947     25.89     25.64
ISL  1948     25.99     25.72
ISL  1949     26.24     25.98
ISL  1950     26.32     26.03
ISL  1951     26.24     25.99
ISL  1952     26.49     26.18
ISL  1953     26.67     26.36
ISL  1954     26.78     26.43
ISL  1955     26.88     26.60
ISL  1956     27.17     26.87
ISL  1957     27.23     26.98
ISL  1958     27.34     27.09
ISL  1959     27.39     27.09
ISL  1960     27.38     26.99
ISL  1961     27.52     27.23
ISL  1962     27.66     27.26
ISL  1963     27.75     27.41
ISL  1964     28.05     27.71
ISL  1965     28.18     27.80
ISL  1966         .     27.79
ISL  1967         .     27.88
ISL  1968         .     28.12
ISL  1969         .     28.24
ISL  1970         .     28.34
ISL  1971         .     28.76
ISL  1972         .     28.62
ISL  1973         .     28.70
ISL  1974         .     28.69
ISL  1975         .     28.97
ITA  1939     27.89     27.68
ITA  1940     27.72     27.53
ITA  1941     27.59     27.39
ITA  1942     27.44     27.25
ITA  1943     27.26     27.08
ITA  1944     27.12     26.93
ITA  1945     27.02     26.83
ITA  1946     26.91     26.71
ITA  1947     26.84     26.64
ITA  1948     26.86     26.65
ITA  1949     26.89     26.67
ITA  1950     26.92     26.67
ITA  1951     26.92     26.67
ITA  1952     26.93     26.67
ITA  1953     26.94     26.68
ITA  1954     26.98     26.71
ITA  1955     27.06     26.77
ITA  1956     27.18     26.87
ITA  1957     27.33     27.01
ITA  1958     27.52     27.17
ITA  1959     27.73     27.36
ITA  1960     27.97     27.59
ITA  1961     28.25     27.83
ITA  1962     28.55     28.09
ITA  1963     28.85     28.37
ITA  1964     29.14     28.63
ITA  1965     29.44     28.90
ITA  1966     29.72     29.14
ITA  1967     29.96     29.36
ITA  1968         .     29.62
ITA  1969         .     29.85
ITA  1970         .     30.04
ITA  1971         .     30.23
ITA  1972         .     30.41
ITA  1973         .     30.56
ITA  1974         .     30.67
ITA  1975         .     30.71
ITA  1976         .     30.71
ITA  1977         .     30.73
JPN  1932     27.35     27.26
JPN  1933     27.45     27.37
JPN  1934     27.52     27.44
JPN  1935     27.57     27.50
JPN  1936     27.58     27.52
JPN  1937     27.56     27.50
JPN  1938     27.58     27.52
JPN  1939     27.59     27.53
JPN  1940     27.55     27.49
JPN  1941     27.50     27.44
JPN  1942     27.48     27.42
JPN  1943     27.43     27.37
JPN  1944     27.38     27.31
JPN  1945     27.37     27.30
JPN  1946     27.37     27.30
JPN  1947     27.41     27.34
JPN  1948     27.48     27.40
JPN  1949     27.55     27.47
JPN  1950     27.62     27.53
JPN  1951     27.70     27.61
JPN  1952     27.80     27.70
JPN  1953     27.92     27.82
JPN  1954     28.07     27.96
JPN  1955     28.22     28.10
JPN  1956     28.35     28.23
JPN  1957     28.47     28.35
JPN  1958     28.55     28.42
JPN  1959     28.64     28.49
JPN  1960     28.74     28.59
JPN  1961     28.86     28.69
JPN  1962     28.98     28.80
JPN  1963     29.12     28.92
JPN  1964     29.26     29.05
JPN  1965     29.39     29.15
JPN  1966     29.51     29.25
JPN  1967     29.65     29.36
JPN  1968         .     29.45
JPN  1969         .     29.55
JPN  1970         .     29.65
JPN  1971         .     29.77
JPN  1972         .     29.89
JPN  1973         .     30.00
JPN  1974         .     30.12
JPN  1975         .     30.24
JPN  1976         .     30.36
JPN  1977         .     30.43
LTU  1944     27.40     27.10
LTU  1945     27.21     26.93
LTU  1946     27.06     26.81
LTU  1947     26.97     26.75
LTU  1948     26.82     26.62
LTU  1949     26.73     26.54
LTU  1950     26.59     26.41
LTU  1951     26.56     26.39
LTU  1952     26.55     26.38
LTU  1953     26.52     26.36
LTU  1954     26.42     26.28
LTU  1955     26.30     26.15
LTU  1956     26.25     26.09
LTU  1957     26.16     25.99
LTU  1958     26.09     25.91
LTU  1959     26.01     25.84
LTU  1960     25.97     25.78
LTU  1961     26.05     25.85
LTU  1962     26.09     25.89
LTU  1963     26.10     25.89
LTU  1964     26.06     25.85
LTU  1965     26.05     25.82
LTU  1966     25.98     25.74
LTU  1967     25.93     25.69
LTU  1968         .     25.67
LTU  1969         .     25.66
LTU  1970         .     25.75
LTU  1971         .     25.82
LTU  1972         .     26.00
LTU  1973         .     26.20
LTU  1974         .     26.44
LTU  1975         .     26.64
LTU  1976         .     27.00
LTU  1977         .     27.25
NLD  1935     28.10     27.97
NLD  1936     27.86     27.75
NLD  1937     27.64     27.52
NLD  1938     27.47     27.34
NLD  1939     27.26     27.14
NLD  1940     27.09     26.94
NLD  1941     26.81     26.69
NLD  1942     26.71     26.57
NLD  1943     26.55     26.42
NLD  1944     26.47     26.34
NLD  1945     26.49     26.34
NLD  1946     26.53     26.39
NLD  1947     26.60     26.46
NLD  1948     26.78     26.62
NLD  1949     26.94     26.77
NLD  1950     27.18     27.00
NLD  1951     27.30     27.12
NLD  1952     27.52     27.33
NLD  1953     27.80     27.61
NLD  1954     28.01     27.81
NLD  1955     28.23     28.04
NLD  1956     28.53     28.32
NLD  1957     28.76     28.54
NLD  1958     28.95     28.73
NLD  1959     29.13     28.89
NLD  1960     29.24     28.99
NLD  1961     29.41     29.17
NLD  1962     29.54     29.29
NLD  1963     29.73     29.47
NLD  1964     29.89     29.62
NLD  1965     30.05     29.78
NLD  1966     30.22     29.94
NLD  1967         .     30.08
NLD  1968         .     30.17
NLD  1969         .     30.24
NLD  1970         .     30.31
NLD  1971         .     30.35
NLD  1972         .     30.38
NLD  1973         .     30.38
NLD  1974         .     30.40
NLD  1975         .     30.43
NLD  1976         .     30.47
NOR  1952     26.53     26.30
NOR  1953     26.74     26.51
NOR  1954     26.93     26.66
NOR  1955     27.12     26.88
NOR  1956     27.32     27.07
NOR  1957     27.67     27.41
NOR  1958     27.80     27.54
NOR  1959     27.93     27.67
NOR  1960     28.10     27.84
NOR  1961     28.28     28.02
NOR  1962     28.36     28.09
NOR  1963     28.44     28.14
NOR  1964     28.58     28.27
NOR  1965     28.65     28.32
NOR  1966     28.72     28.38
NOR  1967     28.83     28.47
NOR  1968     28.91     28.56
NOR  1969         .     28.66
NOR  1970         .     28.79
NOR  1971         .     28.95
NOR  1972         .     29.11
NOR  1973         .     29.25
NOR  1974         .     29.41
NOR  1975         .     29.41
NOR  1976         .     29.42
NOR  1977         .     29.50
NOR  1978         .     29.56
POL  1956     26.27     26.07
POL  1957     26.22     26.04
POL  1958     26.14     25.95
POL  1959     26.08     25.90
POL  1960     26.05     25.86
POL  1961     26.04     25.84
POL  1962     26.00     25.81
POL  1963     26.00     25.79
POL  1964     25.94     25.73
POL  1965     25.93     25.71
POL  1966     25.93     25.70
POL  1967         .     25.70
POL  1968         .     25.74
POL  1969         .     25.79
POL  1970         .     25.94
POL  1971         .     26.15
POL  1972         .     26.39
POL  1973         .     26.64
POL  1974         .     26.88
POL  1975         .     27.15
POL  1976         .     27.39
PRT  1925     29.72     28.79
PRT  1926     29.71     28.81
PRT  1927     29.66     28.78
PRT  1928     29.63     28.78
PRT  1929     29.56     28.75
PRT  1930     29.42     28.67
PRT  1931     29.40     28.67
